"1011Apr0056 Modulex White Modulex Tile 1 x 1 with Red '5' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0057 Modulex White Modulex Tile 1 x 1 with Red '6/9' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0058 Modulex White Modulex Tile 1 x 1 with Red '7' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0059 Modulex White Modulex Tile 1 x 1 with Red '8' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0060 Modulex Black Modulex Tile 1 x 1 with White '0' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0061 Modulex Black Modulex Tile 1 x 1 with White '1' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0062 Modulex Black Modulex Tile 1 x 1 with White '2' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0063 Modulex Black Modulex Tile 1 x 1 with White '3' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0064 Modulex Black Modulex Tile 1 x 1 with White '4' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0065 Modulex Black Modulex Tile 1 x 1 with White '5' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0066 Modulex Black Modulex Tile 1 x 1 with White '6/9' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0067 Modulex Black Modulex Tile 1 x 1 with White '7' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0068 Modulex Black Modulex Tile 1 x 1 with White '8' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0069 Modulex White Modulex Tile 1 x 1 with Thin Dark Grey '½' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0070 Modulex White Modulex Tile 1 x 1 with Thin Dark Grey '0' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0071 Modulex White Modulex Tile 1 x 1 with Thin Dark Grey '1' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0072 Modulex White Modulex Tile 1 x 1 with Thin Dark Grey '2' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0073 Modulex White Modulex Tile 1 x 1 with Thin Dark Grey '3' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0074 Modulex White Modulex Tile 1 x 1 with Thin Dark Grey '4' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0075 Modulex White Modulex Tile 1 x 1 with Thin Dark Grey '5' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0076 Modulex White Modulex Tile 1 x 1 with Thin Dark Grey '6' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0077 Modulex White Modulex Tile 1 x 1 with Thin Dark Grey '7' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0078 Modulex White Modulex Tile 1 x 1 with Thin Dark Grey '8' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0079 Modulex White Modulex Tile 1 x 1 with Thin Dark Grey '9' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0080 Modulex White Modulex Tile 1 x 1 with Thin Dark Grey 'A' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0081 Modulex White Modulex Tile 1 x 1 with Thin Dark Grey 'B' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0082 Modulex White Modulex Tile 1 x 1 with Thin Dark Grey 'C' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0083 Modulex White Modulex Tile 1 x 1 with Thin Dark Grey 'D' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0084 Modulex White Modulex Tile 1 x 1 with Thin Dark Grey 'E' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0085 Modulex White Modulex Tile 1 x 1 with Thin Dark Grey 'F' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0086 Modulex White Modulex Tile 1 x 1 with Thin Dark Grey 'G' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0087 Modulex White Modulex Tile 1 x 1 with Thin Dark Grey 'H' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0088 Modulex White Modulex Tile 1 x 1 with Thin Dark Grey 'I' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0089 Modulex White Modulex Tile 1 x 1 with Thin Dark Grey 'J' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0090 Modulex White Modulex Tile 1 x 1 with Thin Dark Grey 'K' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0091 Modulex White Modulex Tile 1 x 1 with Thin Dark Grey 'L' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0092 Modulex White Modulex Tile 1 x 1 with Thin Dark Grey 'M/W' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0093 Modulex White Modulex Tile 1 x 1 with Thin Dark Grey 'N' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0094 Modulex White Modulex Tile 1 x 1 with Thin Dark Grey 'O' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0095 Modulex White Modulex Tile 1 x 1 with Thin Dark Grey 'P' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0096 Modulex White Modulex Tile 1 x 1 with Thin Dark Grey 'Q' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0097 Modulex White Modulex Tile 1 x 1 with Thin Dark Grey 'R' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0098 Modulex White Modulex Tile 1 x 1 with Thin Dark Grey 'S' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
